Order ID,Order Date,Region,Country,Customer Name,Product Category,Product Name,ASP,Quantity,Total Revenue
ORD-202300377,2023-01-02,LATAM,Mexico,Gamma Beta Group,Software,Security Suite,1694.06,2,3388.12
ORD-202305702,2023-01-03,North America,Canada,Next Apex Group,Electronics,"4K Monitor 27""",339.99,2,679.98
ORD-202317278,2023-01-03,North America,Canada,Alpha Prime Solutions,Office Supplies,Standing Desk,630.04,3,1890.12
ORD-202321383,2023-01-03,APAC,Singapore,Next Beta Ltd.,Electronics,Enterprise Laptop X1,1261.44,2,2522.88
ORD-202324529,2023-01-03,North America,Canada,Elite Delta Group,Electronics,Enterprise Laptop X1,1218.62,3,3655.86
ORD-202306972,2023-01-03,APAC,China,Alpha Beta Solutions,Office Supplies,Ergonomic Chair,407.77,2,815.54
ORD-202311544,2023-01-03,EMEA,France,Next Summit Group,Electronics,Wireless Headset,155.55,3,466.65
ORD-202322761,2023-01-03,North America,Canada,Next Beta Group,Office Supplies,Standing Desk,614.08,1,614.08
ORD-202316672,2023-01-03,APAC,Singapore,Global Next Ltd.,Electronics,Pro Smartphone 15,839.3,2,1678.6
ORD-202315983,2023-01-03,North America,Canada,Elite Delta Group,Software,Team Collaboration Tool,197.98,9,1781.82
ORD-202309177,2023-01-03,EMEA,United Kingdom,Next Global Solutions,Electronics,Pro Smartphone 15,946.22,6,5677.32
ORD-202324005,2023-01-03,North America,United States,Summit Prime Systems,Software,Team Collaboration Tool,204.43,6,1226.58
ORD-202310748,2023-01-03,North America,Canada,Apex Next Group,Software,Security Suite,1543.46,1,1543.46
ORD-202318741,2023-01-03,North America,Canada,Next Summit Group,Electronics,Wireless Headset,142.84,2,285.68
ORD-202313411,2023-01-03,EMEA,Germany,Prime Delta Solutions,Electronics,Enterprise Laptop X1,1221.57,2,2443.14
ORD-202314560,2023-01-03,EMEA,Germany,Delta Elite Inc.,Electronics,Enterprise Laptop X1,1220.61,1,1220.61
ORD-202325499,2023-01-03,EMEA,Germany,Next Apex Group,Office Supplies,Meeting Whiteboard,287.34,20,5746.8
ORD-202307418,2023-01-03,APAC,China,Beta Summit Corp.,Electronics,Enterprise Laptop X1,1178.44,1,1178.44
ORD-202327286,2023-01-03,APAC,Singapore,Global Gamma Corp.,Software,Team Collaboration Tool,211.19,10,2111.9
ORD-202308146,2023-01-03,EMEA,Netherlands,Elite Gamma Corp.,Electronics,Enterprise Laptop X1,1181.21,1,1181.21
ORD-202300265,2023-01-03,North America,Canada,Elite Delta Group,Software,Security Suite,1558.88,7,10912.16
ORD-202304716,2023-01-03,APAC,India,Beta Next Ltd.,Electronics,Pro Smartphone 15,881.13,4,3524.52
ORD-202318827,2023-01-03,EMEA,Netherlands,Elite Alpha Group,Office Supplies,Standing Desk,634.41,2,1268.82
ORD-202322604,2023-01-03,EMEA,Germany,Summit Alpha Solutions,Office Supplies,Meeting Whiteboard,309.85,6,1859.1
ORD-202320643,2023-01-03,North America,Canada,Gamma Apex Systems,Electronics,Enterprise Laptop X1,1152.94,4,4611.76
ORD-202320620,2023-01-03,North America,Canada,Gamma Next Group,Electronics,Wireless Headset,132.8,1,132.8
ORD-202317304,2023-01-03,North America,United States,Elite Apex Group,Electronics,Enterprise Laptop X1,1179.31,1,1179.31
ORD-202304655,2023-01-03,North America,United States,Apex Next Inc.,Electronics,"4K Monitor 27""",345.31,15,5179.65
ORD-202311485,2023-01-03,EMEA,United Kingdom,Elite Beta Corp.,Electronics,Enterprise Laptop X1,1172.3,10,11723.0
ORD-202308572,2023-01-03,EMEA,Netherlands,Global Prime Group,Electronics,"4K Monitor 27""",341.71,3,1025.13
ORD-202300841,2023-01-03,APAC,China,Next Delta Systems,Electronics,Enterprise Laptop X1,1119.1,2,2238.2
ORD-202302556,2023-01-03,North America,Canada,Elite Global Corp.,Software,Team Collaboration Tool,200.63,5,1003.15
ORD-202312667,2023-01-03,North America,Canada,Next Delta Ltd.,Software,Security Suite,1578.97,4,6315.88
ORD-202320792,2023-01-03,EMEA,Netherlands,Apex Summit Inc.,Office Supplies,Meeting Whiteboard,316.01,3,948.03
ORD-202317663,2023-01-03,North America,United States,Beta Next Solutions,Software,Team Collaboration Tool,189.1,51,9644.1
ORD-202321915,2023-01-04,APAC,India,Apex Global Solutions,Office Supplies,Standing Desk,580.09,4,2320.36
ORD-202323749,2023-01-04,North America,Canada,Apex Delta Corp.,Software,Team Collaboration Tool,205.96,5,1029.8
ORD-202301092,2023-01-04,EMEA,Germany,Elite Summit Corp.,Office Supplies,Ergonomic Chair,379.9,1,379.9
ORD-202322644,2023-01-04,EMEA,France,Elite Next Corp.,Electronics,Enterprise Laptop X1,1117.4,2,2234.8
ORD-202304469,2023-01-04,APAC,Singapore,Summit Beta Corp.,Software,Team Collaboration Tool,207.68,1,207.68
ORD-202325792,2023-01-04,APAC,Singapore,Gamma Beta Corp.,Electronics,Wireless Headset,145.72,1,145.72
ORD-202314236,2023-01-04,EMEA,Netherlands,Apex Alpha Corp.,Software,Team Collaboration Tool,217.95,1,217.95
ORD-202304920,2023-01-04,EMEA,France,Elite Apex Group,Electronics,Pro Smartphone 15,905.7,4,3622.8
ORD-202301493,2023-01-04,North America,Canada,Global Apex Inc.,Electronics,Pro Smartphone 15,912.74,2,1825.48
ORD-202311548,2023-01-04,APAC,Singapore,Beta Prime Corp.,Software,Team Collaboration Tool,204.23,2,408.46
ORD-202326769,2023-01-04,North America,Canada,Apex Delta Corp.,Electronics,Docking Station,196.72,2,393.44
ORD-202318137,2023-01-04,LATAM,Brazil,Elite Delta Group,Software,Security Suite,1510.07,1,1510.07
ORD-202301817,2023-01-04,North America,Canada,Apex Gamma Ltd.,Electronics,Pro Smartphone 15,905.99,4,3623.96
ORD-202309295,2023-01-04,North America,United States,Alpha Global Inc.,Software,Team Collaboration Tool,216.22,7,1513.54
ORD-202313377,2023-01-04,APAC,Japan,Elite Delta Group,Software,Team Collaboration Tool,202.4,6,1214.4
ORD-202329359,2023-01-04,North America,United States,Global Next Ltd.,Office Supplies,Ergonomic Chair,411.11,1,411.11
ORD-202314364,2023-01-04,EMEA,Germany,Global Next Ltd.,Software,Security Suite,1437.17,1,1437.17
ORD-202318725,2023-01-04,North America,United States,Alpha Summit Corp.,Electronics,Enterprise Laptop X1,1216.67,11,13383.37
ORD-202329368,2023-01-04,APAC,Japan,Summit Beta Group,Electronics,"4K Monitor 27""",359.86,5,1799.3
ORD-202309670,2023-01-04,LATAM,Brazil,Delta Global Systems,Office Supplies,Meeting Whiteboard,271.04,2,542.08
ORD-202302804,2023-01-04,APAC,Australia,Summit Global Ltd.,Software,Team Collaboration Tool,195.65,1,195.65
ORD-202323901,2023-01-04,North America,Canada,Apex Apex Ltd.,Office Supplies,Ergonomic Chair,414.31,20,8286.2
ORD-202316014,2023-01-04,EMEA,France,Gamma Alpha Inc.,Software,Team Collaboration Tool,217.28,6,1303.68
ORD-202328686,2023-01-04,North America,Canada,Elite Next Inc.,Electronics,Enterprise Laptop X1,1213.76,5,6068.8
ORD-202303192,2023-01-04,North America,Canada,Next Beta Inc.,Software,Team Collaboration Tool,204.7,5,1023.5
ORD-202329674,2023-01-04,APAC,Singapore,Delta Alpha Ltd.,Software,Security Suite,1489.13,1,1489.13
ORD-202303243,2023-01-05,EMEA,Germany,Alpha Global Ltd.,Electronics,Docking Station,186.77,2,373.54
ORD-202306583,2023-01-05,North America,United States,Gamma Elite Inc.,Office Supplies,Standing Desk,585.93,2,1171.86
ORD-202317826,2023-01-05,EMEA,Germany,Alpha Gamma Solutions,Office Supplies,Standing Desk,593.25,1,593.25
ORD-202302707,2023-01-05,EMEA,United Kingdom,Next Beta Group,Electronics,Enterprise Laptop X1,1213.97,3,3641.91
ORD-202323923,2023-01-05,North America,Canada,Gamma Beta Group,Electronics,"4K Monitor 27""",332.98,12,3995.76
ORD-202325703,2023-01-05,APAC,Australia,Summit Prime Systems,Office Supplies,Meeting Whiteboard,322.75,3,968.25
ORD-202305366,2023-01-05,EMEA,United Kingdom,Delta Elite Systems,Software,Team Collaboration Tool,173.42,2,346.84
ORD-202326522,2023-01-05,LATAM,Brazil,Summit Global Corp.,Office Supplies,Ergonomic Chair,360.73,10,3607.3
ORD-202314520,2023-01-05,EMEA,United Kingdom,Elite Global Systems,Electronics,"4K Monitor 27""",339.83,8,2718.64
ORD-202304416,2023-01-05,EMEA,United Kingdom,Alpha Beta Group,Electronics,Wireless Headset,141.9,13,1844.7
ORD-202318573,2023-01-05,North America,Canada,Next Delta Inc.,Electronics,Enterprise Laptop X1,1215.64,6,7293.84
ORD-202313728,2023-01-05,EMEA,United Kingdom,Next Alpha Corp.,Office Supplies,Meeting Whiteboard,313.59,8,2508.72
ORD-202327268,2023-01-05,North America,Canada,Apex Prime Corp.,Office Supplies,Meeting Whiteboard,314.59,2,629.18
ORD-202302510,2023-01-05,EMEA,Germany,Alpha Gamma Inc.,Software,Team Collaboration Tool,205.76,2,411.52
ORD-202326232,2023-01-05,EMEA,Germany,Gamma Prime Systems,Electronics,Docking Station,209.09,3,627.27
ORD-202317981,2023-01-05,APAC,Singapore,Alpha Global Inc.,Electronics,Wireless Headset,137.91,2,275.82
ORD-202314694,2023-01-05,North America,Canada,Apex Next Inc.,Office Supplies,Ergonomic Chair,426.52,11,4691.72
ORD-202307327,2023-01-05,APAC,Japan,Apex Elite Systems,Electronics,Pro Smartphone 15,833.38,4,3333.52
ORD-202323182,2023-01-05,APAC,Japan,Gamma Prime Ltd.,Electronics,"4K Monitor 27""",360.02,1,360.02
ORD-202321398,2023-01-05,APAC,Australia,Apex Prime Group,Electronics,Enterprise Laptop X1,1254.87,1,1254.87
ORD-202325919,2023-01-05,EMEA,Germany,Summit Prime Inc.,Software,Team Collaboration Tool,201.67,1,201.67
ORD-202319187,2023-01-05,APAC,Singapore,Global Global Corp.,Software,Cloud License (Annual),4961.98,8,39695.84
ORD-202315398,2023-01-05,EMEA,Germany,Gamma Summit Systems,Office Supplies,Meeting Whiteboard,276.91,9,2492.19
ORD-202304976,2023-01-05,North America,United States,Alpha Beta Group,Electronics,"4K Monitor 27""",340.9,6,2045.4
ORD-202324125,2023-01-05,LATAM,Mexico,Apex Elite Systems,Electronics,Enterprise Laptop X1,1221.78,2,2443.56
ORD-202312665,2023-01-05,North America,United States,Alpha Summit Corp.,Electronics,"4K Monitor 27""",338.96,3,1016.88
ORD-202321198,2023-01-05,APAC,Japan,Gamma Global Solutions,Office Supplies,Standing Desk,636.77,3,1910.31
ORD-202311443,2023-01-05,North America,Canada,Alpha Gamma Group,Electronics,Pro Smartphone 15,946.3,2,1892.6
ORD-202320065,2023-01-05,EMEA,Germany,Next Gamma Group,Software,Team Collaboration Tool,195.45,2,390.9
ORD-202304991,2023-01-05,LATAM,Brazil,Beta Elite Solutions,Software,Team Collaboration Tool,212.69,11,2339.59
ORD-202304930,2023-01-05,North America,Canada,Alpha Alpha Solutions,Software,Team Collaboration Tool,202.43,33,6680.19
ORD-202315805,2023-01-05,North America,Canada,Alpha Summit Systems,Electronics,"4K Monitor 27""",351.48,3,1054.44
ORD-202315625,2023-01-05,North America,United States,Beta Next Systems,Electronics,Wireless Headset,149.63,2,299.26
ORD-202304693,2023-01-05,North America,United States,Global Next Ltd.,Electronics,Pro Smartphone 15,935.31,1,935.31
ORD-202320225,2023-01-05,North America,Canada,Global Gamma Corp.,Office Supplies,Ergonomic Chair,376.98,8,3015.84
ORD-202306652,2023-01-05,North America,United States,Next Prime Group,Software,Security Suite,1598.21,1,1598.21
ORD-202321165,2023-01-05,EMEA,France,Global Gamma Corp.,Office Supplies,Ergonomic Chair,393.31,4,1573.24
ORD-202319423,2023-01-05,North America,Canada,Alpha Delta Systems,Software,Security Suite,1477.0,5,7385.0
ORD-202311083,2023-01-05,EMEA,France,Apex Delta Group,Electronics,"4K Monitor 27""",359.88,3,1079.64
ORD-202321510,2023-01-05,North America,United States,Next Delta Solutions,Electronics,"4K Monitor 27""",353.26,24,8478.24
ORD-202304924,2023-01-05,EMEA,United Kingdom,Delta Next Inc.,Software,Security Suite,1496.28,4,5985.12
ORD-202319009,2023-01-06,North America,Canada,Summit Prime Systems,Electronics,Enterprise Laptop X1,1264.38,5,6321.9
ORD-202312483,2023-01-06,APAC,India,Next Summit Group,Electronics,Pro Smartphone 15,870.08,1,870.08
ORD-202314686,2023-01-06,APAC,Australia,Apex Global Solutions,Electronics,Enterprise Laptop X1,1176.89,3,3530.67
ORD-202305312,2023-01-06,North America,Canada,Elite Global Group,Office Supplies,Ergonomic Chair,413.18,1,413.18
ORD-202300412,2023-01-06,North America,United States,Global Next Systems,Software,Team Collaboration Tool,203.8,2,407.6
ORD-202316265,2023-01-06,APAC,India,Elite Elite Systems,Electronics,Enterprise Laptop X1,1282.11,1,1282.11
ORD-202300503,2023-01-06,North America,Canada,Beta Next Group,Electronics,Pro Smartphone 15,941.74,5,4708.7
ORD-202310298,2023-01-06,North America,United States,Beta Alpha Corp.,Electronics,"4K Monitor 27""",319.67,4,1278.68
ORD-202329553,2023-01-06,North America,United States,Apex Global Solutions,Electronics,Enterprise Laptop X1,1256.73,1,1256.73
ORD-202319970,2023-01-06,North America,Canada,Beta Gamma Ltd.,Office Supplies,Standing Desk,623.46,4,2493.84
ORD-202327091,2023-01-06,North America,United States,Beta Next Solutions,Software,Cloud License (Annual),5207.33,2,10414.66
ORD-202323420,2023-01-06,APAC,Japan,Prime Apex Inc.,Electronics,Docking Station,205.13,2,410.26
ORD-202321104,2023-01-06,North America,United States,Beta Delta Inc.,Electronics,Docking Station,198.28,6,1189.68
ORD-202316222,2023-01-06,North America,Canada,Next Apex Corp.,Electronics,"4K Monitor 27""",375.66,1,375.66
ORD-202306299,2023-01-06,North America,Canada,Beta Alpha Solutions,Office Supplies,Standing Desk,571.56,2,1143.12
ORD-202327348,2023-01-06,EMEA,France,Summit Prime Systems,Electronics,Enterprise Laptop X1,1205.16,9,10846.44
ORD-202303530,2023-01-06,North America,United States,Global Gamma Systems,Electronics,"4K Monitor 27""",347.09,2,694.18
ORD-202309268,2023-01-06,EMEA,Germany,Next Summit Group,Electronics,Pro Smartphone 15,916.05,16,14656.8
ORD-202314400,2023-01-06,North America,Canada,Next Prime Inc.,Electronics,Enterprise Laptop X1,1289.01,4,5156.04
ORD-202320262,2023-01-06,North America,Canada,Summit Alpha Solutions,Software,Security Suite,1618.07,1,1618.07
ORD-202312357,2023-01-06,APAC,China,Gamma Apex Systems,Software,Cloud License (Annual),5122.42,1,5122.42
ORD-202318761,2023-01-06,North America,United States,Next Summit Group,Electronics,Enterprise Laptop X1,1165.61,2,2331.22
ORD-202300353,2023-01-06,APAC,Japan,Next Summit Inc.,Office Supplies,Ergonomic Chair,376.33,3,1128.99
ORD-202319453,2023-01-06,North America,United States,Prime Elite Ltd.,Electronics,"4K Monitor 27""",364.97,4,1459.88
ORD-202307358,2023-01-06,EMEA,France,Delta Next Inc.,Software,Team Collaboration Tool,204.94,1,204.94
ORD-202307969,2023-01-06,APAC,Australia,Elite Apex Group,Electronics,"4K Monitor 27""",348.99,4,1395.96
ORD-202300901,2023-01-06,EMEA,France,Apex Global Inc.,Electronics,Pro Smartphone 15,911.13,2,1822.26
ORD-202300817,2023-01-06,APAC,India,Gamma Next Group,Electronics,Docking Station,200.57,2,401.14
ORD-202310755,2023-01-06,APAC,China,Beta Prime Corp.,Electronics,Enterprise Laptop X1,1189.13,6,7134.78
ORD-202305024,2023-01-06,APAC,Japan,Apex Prime Corp.,Office Supplies,Standing Desk,621.34,1,621.34
ORD-202327692,2023-01-06,North America,United States,Beta Gamma Corp.,Software,Cloud License (Annual),5129.08,2,10258.16
ORD-202328306,2023-01-06,APAC,China,Prime Next Ltd.,Software,Team Collaboration Tool,190.78,8,1526.24
ORD-202312196,2023-01-06,North America,United States,Gamma Elite Inc.,Electronics,"4K Monitor 27""",384.66,3,1153.98
ORD-202318914,2023-01-06,North America,Canada,Summit Prime Systems,Office Supplies,Ergonomic Chair,411.23,2,822.46
ORD-202303503,2023-01-06,LATAM,Brazil,Gamma Beta Ltd.,Software,Team Collaboration Tool,198.72,1,198.72
ORD-202316109,2023-01-06,APAC,Singapore,Apex Alpha Ltd.,Electronics,Enterprise Laptop X1,1155.16,1,1155.16
ORD-202315684,2023-01-06,EMEA,France,Elite Delta Solutions,Office Supplies,Standing Desk,614.84,4,2459.36
ORD-202310399,2023-01-06,North America,Canada,Beta Prime Corp.,Electronics,Wireless Headset,143.02,5,715.1
ORD-202312945,2023-01-06,North America,Canada,Summit Prime Ltd.,Electronics,Pro Smartphone 15,877.62,12,10531.44
ORD-202300024,2023-01-06,APAC,Australia,Apex Summit Corp.,Electronics,"4K Monitor 27""",340.76,1,340.76
ORD-202322778,2023-01-07,APAC,India,Alpha Prime Solutions,Electronics,"4K Monitor 27""",336.03,4,1344.12
ORD-202322690,2023-01-07,APAC,India,Summit Global Ltd.,Electronics,Wireless Headset,159.18,1,159.18
ORD-202313269,2023-01-07,APAC,India,Gamma Next Group,Software,Team Collaboration Tool,192.37,7,1346.59
ORD-202323624,2023-01-07,APAC,China,Gamma Summit Ltd.,Electronics,Enterprise Laptop X1,1222.38,2,2444.76
ORD-202316528,2023-01-07,APAC,Singapore,Global Summit Systems,Office Supplies,Ergonomic Chair,359.65,2,719.3
ORD-202323578,2023-01-07,LATAM,Brazil,Gamma Beta Solutions,Electronics,"4K Monitor 27""",314.49,1,314.49
ORD-202327044,2023-01-07,APAC,Japan,Delta Summit Solutions,Office Supplies,Ergonomic Chair,405.74,18,7303.32
ORD-202318346,2023-01-07,LATAM,Brazil,Gamma Next Group,Software,Security Suite,1462.18,6,8773.08
ORD-202301934,2023-01-07,North America,Canada,Summit Next Solutions,Office Supplies,Ergonomic Chair,404.23,2,808.46
ORD-202318457,2023-01-07,North America,Canada,Gamma Alpha Inc.,Electronics,Pro Smartphone 15,887.47,3,2662.41
ORD-202308032,2023-01-07,APAC,Australia,Beta Elite Solutions,Office Supplies,Ergonomic Chair,393.79,5,1968.95
ORD-202310348,2023-01-07,North America,Canada,Summit Global Solutions,Software,Team Collaboration Tool,198.39,1,198.39
ORD-202301365,2023-01-07,EMEA,France,Prime Delta Solutions,Office Supplies,Standing Desk,614.6,3,1843.8
ORD-202315758,2023-01-07,APAC,China,Next Prime Inc.,Electronics,Pro Smartphone 15,993.51,4,3974.04
ORD-202319335,2023-01-07,North America,Canada,Alpha Global Inc.,Office Supplies,Ergonomic Chair,374.47,3,1123.41
ORD-202304951,2023-01-07,EMEA,United Kingdom,Prime Global Solutions,Electronics,"4K Monitor 27""",365.56,5,1827.8
ORD-202316730,2023-01-07,North America,United States,Global Next Ltd.,Electronics,Wireless Headset,149.55,3,448.65
ORD-202301386,2023-01-07,EMEA,Netherlands,Next Beta Ltd.,Electronics,Pro Smartphone 15,972.81,2,1945.62
ORD-202320376,2023-01-07,EMEA,Germany,Apex Global Solutions,Electronics,Docking Station,213.51,3,640.53
ORD-202316936,2023-01-07,North America,United States,Beta Gamma Corp.,Electronics,"4K Monitor 27""",350.24,3,1050.72
ORD-202317420,2023-01-07,EMEA,Netherlands,Beta Summit Solutions,Office Supplies,Ergonomic Chair,378.23,3,1134.69
ORD-202307228,2023-01-07,EMEA,United Kingdom,Global Elite Group,Electronics,Enterprise Laptop X1,1229.65,1,1229.65
ORD-202310606,2023-01-07,North America,Canada,Global Prime Inc.,Electronics,Pro Smartphone 15,958.77,2,1917.54
ORD-202324587,2023-01-07,EMEA,Netherlands,Delta Elite Ltd.,Electronics,Pro Smartphone 15,892.78,8,7142.24
